Protein.IDs	Majority.protein.IDs	Fasta.headers	Sample.1_Tr_1	Sample.1_Tr_2	Sample.1_Tr_3	Sample.2_Tr_1	Sample.2_Tr_2	Sample.2_Tr_3	Sample.3_Tr_1	Sample.3_Tr_2	Sample.3_Tr_3	Sample.4_Tr_1	Sample.4_Tr_2	Sample.4_Tr_3	Sample.5_Tr_1	Sample.5_Tr_2	Sample.5_Tr_3	Sample.6_Tr_1	Sample.6_Tr_2	Sample.6_Tr_3	Sample.7_Tr_1	Sample.7_Tr_2	Sample.7_Tr_3	Sample.8_Tr_1	Sample.8_Tr_2	Sample.8_Tr_3	Sample.9_Tr_1	Sample.9_Tr_2	Sample.9_Tr_3
sp|P11076|ARF1_YEAST	sp|P11076|ARF1_YEAST	sp|P11076|ARF1_YEAST ADP-ribosylation factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARF1 PE=1 SV=3	25.0138453713713	24.7913393855329	24.7347439323752	24.8813836101065	23.5460428521619	24.1462373919909	25.2086234454729	NA	22.1153726481786	23.458138229822	23.5603421645258	24.0916820164224	23.4744456686783	24.7212978206999	23.5101450540922	24.5485731224855	24.5364701528331	NA	24.1630009777721	24.4530590852381	23.3147890026898	24.9998524313387	23.4263681645638	24.9394368126575	24.9832886857715	24.3519162219771	24.9584571348512
sp|P11353|HEM6_YEAST	sp|P11353|HEM6_YEAST	sp|P11353|HEM6_YEAST Oxygen-dependent coproporphyrinogen-III oxidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEM13 PE=1 SV=2	25.5280267088832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.5573942842149	NA	NA	23.5932041716601	23.5204930361978	25.1537162269901	NA	NA	23.3121595035901	NA	23.5236069400352	23.5658133186135	NA	NA	NA	NA
sp|P11412|G6PD_YEAST	sp|P11412|G6PD_YEAST	sp|P11412|G6PD_YEAST Glucose-6-phosphate 1-dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ZWF1 PE=1 SV=4	21.9121788744028	22.8144854602283	22.9233216815687	23.8065622082571	22.1321984673072	23.1070292976093	23.1046640136466	23.3481381183266	22.7941389818005	21.6869689385534	23.5763477885871	23.0727887988616	24.0057314448312	22.6933006259436	23.0823719238059	23.1074923113879	23.4459433579466	23.6830322904897	NA	NA	24.4613270601702	23.8940250495075	23.4422773620037	NA	24.2649923030494	24.0446022346241	23.8855787135012
sp|P11484|SSB1_YEAST	sp|P11484|SSB1_YEAST	sp|P11484|SSB1_YEAST Ribosome-associated molecular chaperone SSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSB1 PE=1 SV=3	30.1798519669222	28.9367439606561	28.6243235393265	30.3672388302607	29.209437115501	28.6038524636716	29.8550000557865	29.1584623828956	30.2048979558858	29.3956037215141	30.2350068650629	28.2972786012624	30.3448791551552	28.864639528916	30.2907690544578	30.4329081873856	28.830200185747	30.0852472587771	30.1354059532587	30.362125660321	30.3557348581423	30.6051426594366	30.7004145290776	30.2430898491503	28.8306535450396	29.7978738566272	30.2277965222153
sp|P11491|PPB_YEAST	sp|P11491|PPB_YEAST	sp|P11491|PPB_YEAST Repressible alkaline phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHO8 PE=1 SV=2	22.8489048420682	20.6679569700276	20.4337973181656	23.7477586520514	23.1826665256479	20.8999911491573	20.3305755557966	21.085827715607	NA	20.1169277040822	21.9270892681879	22.6894025703976	22.5935005463604	21.8710584571887	20.7480454009283	23.9820702667709	23.7620267328653	23.4407576690532	NA	20.2317508793043	NA	NA	NA	20.4275706556896	24.164766399819	23.6071587089566	23.2263363369707
sp|P11632|NHP6A_YEAST	sp|P11632|NHP6A_YEAST	sp|P11632|NHP6A_YEAST Non-histone chromosomal protein 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NHP6A PE=1 SV=1	24.4171886016427	24.3705267172217	NA	23.99049111199	24.062334738535	NA	24.3701275762478	24.8184113228844	24.4371419696062	24.6017857475007	24.5441569760229	NA	24.2581778203294	24.3197581064803	24.2808630693266	24.7708731535534	NA	24.7066718014098	24.6337273992086	24.63516765701	24.4102815717659	24.3207911856801	24.2344724768903	24.3242981318117	23.9916159529941	NA	23.8885544939368
sp|P11633|NHP6B_YEAST	sp|P11633|NHP6B_YEAST	sp|P11633|NHP6B_YEAST Non-histone chromosomal protein 6B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NHP6B PE=1 SV=3	23.129355346121	23.1502102646807	23.0346968855414	23.405485330634	23.4437954558381	NA	23.3900818170592	23.6425127239	NA	23.3396010354548	23.3524551442997	23.4173817809205	23.2124209816229	23.3883747185546	23.3000575699693	23.690298137782	23.7286853344371	23.4595146682324	23.5038519359746	NA	23.3299189396701	23.5726521220362	23.397412467283	23.1811807740033	23.2258658242085	23.4374594990541	23.2522842911092
sp|P11745|RNA1_YEAST	sp|P11745|RNA1_YEAST	sp|P11745|RNA1_YEAST Ran GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RNA1 PE=1 SV=2	23.3809978834274	NA	20.0875767904313	22.9466914289539	23.1830604479694	NA	23.3205846290127	23.1236048818757	23.5287421539962	24.1284116371481	23.6179570381718	23.1899819638929	NA	24.1247883565867	24.1983551100191	24.6850661402628	22.5090094827128	24.3689960767691	24.004188913604	23.3459747514119	23.6521753799766	24.6177328953855	23.2948798432309	22.1764556284477	NA	NA	22.8993827398993
sp|P11986|INO1_YEAST	sp|P11986|INO1_YEAST	sp|P11986|INO1_YEAST Inositol-3-phosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=INO1 PE=1 SV=3	NA	NA	22.1575221096892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.2295229595071	20.9870419052226	NA	NA	NA	NA	22.727397844175	21.3468404875011	21.1607873117734	NA	NA	NA	NA	21.2890079689593
sp|P12081ups|SYHC_HUMAN_UPS	sp|P12081ups|SYHC_HUMAN_UPS	sp|P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	25.7197583335278	24.9611981368872	24.4865257216567	21.6267161094045	NA	NA	27.1241572908908	26.8214071200902	27.1161464186669	NA	20.8356094340585	21.1110159230443	21.7702783545511	22.2531215147294	NA	28.8005145579665	27.8090674421077	28.778343927916	23.4817304637716	23.4658792343339	23.7523602278305	22.0983804049485	22.3049383755941	22.1524556807842	NA	NA	21.7882356163198
sp|P12612|TCPA_YEAST	sp|P12612|TCPA_YEAST	sp|P12612|TCPA_YEAST T-complex protein 1 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TCP1 PE=1 SV=2	22.3349181056976	22.1072847718629	NA	22.080242412263	NA	22.0076145237636	21.9046287421283	NA	NA	22.2922418613676	22.262040921359	22.1454446127071	22.1712110112032	21.7243406468423	22.1868275741528	NA	22.7850053882122	22.9138229298585	NA	21.5673229606019	22.1714248275187	22.1246148410364	NA	21.8515950320386	NA	21.735456861662	21.9338750367073
sp|P12695|ODP2_YEAST	sp|P12695|ODP2_YEAST	sp|P12695|ODP2_YEAST Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LAT1 PE=1 SV=1	24.8504318065988	NA	NA	23.9838105505053	NA	NA	23.6992233675615	23.3751752207998	24.3962368363276	24.3004765723559	21.8841257920064	NA	24.262987167159	NA	23.8391322655738	24.577500745606	19.3354688660987	23.9244276187949	23.7309667675534	24.2253804471505	23.7734410783946	23.8584219624108	23.882316910075	23.8565235542931	24.0717746134539	NA	24.3799409639362
sp|P12709|G6PI_YEAST	sp|P12709|G6PI_YEAST	sp|P12709|G6PI_YEAST Glucose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGI1 PE=1 SV=3	28.5800699642321	28.7852835820291	28.2776833454773	28.8152810172934	28.8693837381276	27.0131851526388	28.8971220043113	29.1432865525483	28.6519154460159	28.4732460187583	28.4047060570964	28.0564136325776	28.5067296027496	28.2099250973349	28.6646177964881	28.6280840961927	28.2134985962796	28.7516517744659	28.3746364300746	27.5218561962026	28.6466039180311	28.8882351241273	28.8418215321235	28.2192809488736	27.9569296416662	27.2401806389321	28.4488442625338
sp|P12945|NAT1_YEAST	sp|P12945|NAT1_YEAST	sp|P12945|NAT1_YEAST N-terminal acetyltransferase A complex subunit NAT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NAT1 PE=1 SV=2	21.6329401893712	21.6342704344626	NA	NA	NA	NA	20.8337579455962	NA	21.5437795047908	NA	21.1791315663955	NA	21.5272631761631	21.522673474389	NA	NA	21.529361919567	NA	21.114642145539	21.0122944435883	NA	NA	NA	NA	NA	NA	21.2746352214231
sp|P12962|CAF20_YEAST	sp|P12962|CAF20_YEAST	sp|P12962|CAF20_YEAST Cap-associated protein CAF20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAF20 PE=1 SV=2	22.5183573273782	NA	22.5729989932158	23.0020609431812	22.5931357688513	21.1073805630459	NA	NA	NA	22.7592047055136	20.8133114874718	NA	21.0319407634313	NA	NA	22.7643370882646	22.5914931277266	22.6300982270924	NA	NA	NA	NA	22.6408812644361	NA	22.328139102146	21.9535456920303	22.4108508761965
sp|P13188|SYQ_YEAST	sp|P13188|SYQ_YEAST	sp|P13188|SYQ_YEAST Glutamine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLN4 PE=1 SV=2	23.5038519359746	22.7610325473268	23.1661618564647	22.1365856574843	22.3671171595846	22.2064563809018	21.5850872400778	22.3199234488724	NA	23.0451857311096	23.6557822560815	23.1092472209762	23.0110490863941	22.6803303324909	23.2896834670594	21.8824848399682	22.5682511864927	22.4084945674207	23.1320101464053	22.7362623577223	22.5944804291449	22.7288721327221	22.4296662221635	24.1477905977617	23.7157584335079	24.3717899356152	24.061675747983
sp|P13298|PYRE_YEAST	sp|P13298|PYRE_YEAST	sp|P13298|PYRE_YEAST Orotate phosphoribosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA5 PE=1 SV=2	24.5236667569824	23.672927686643	23.6758373246865	NA	NA	23.1054635298885	22.863743155631	24.7629391572917	21.7029471088087	23.640748903045	23.4126091254424	24.6051815241441	NA	23.4264961368033	NA	NA	NA	NA	23.9182525440448	NA	21.2574730176773	NA	NA	23.3987176012972	23.0690229094503	23.010110092979	23.0054573375695
sp|P13517|CAPZB_YEAST	sp|P13517|CAPZB_YEAST	sp|P13517|CAPZB_YEAST F-actin-capping protein subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAP2 PE=1 SV=3	22.4405802672228	22.0677271368795	22.6745233260217	23.4085982223372	22.5621837196152	21.7080516099435	22.1911724991312	NA	22.4240627210036	22.2646773947655	22.2471927613169	NA	22.7616818889599	22.8551361372567	22.3954002488638	NA	23.140897155932	NA	22.4979940821887	21.9283188481734	21.8901514432911	22.2985761194983	22.3729192468594	22.5920408826053	22.0139986692701	21.8321745820785	21.6128379082159
sp|P13574|STE12_YEAST	sp|P13574|STE12_YEAST	sp|P13574|STE12_YEAST Protein STE12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE12 PE=1 SV=1	24.895551246138	NA	24.18101391041	25.139227198213	25.2068364110527	24.9693021967707	24.1370392835249	25.2531720213036	NA	24.2816414319249	24.181848035447	24.1471695161008	NA	25.5183933486769	24.1505046906599	NA	NA	NA	25.136804667174	NA	NA	NA	NA	25.6922685600633	26.3275738867936	25.6475991760232	25.5726521220362
sp|P13663|DHAS_YEAST	sp|P13663|DHAS_YEAST	sp|P13663|DHAS_YEAST Aspartate-semialdehyde dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HOM2 PE=1 SV=1	26.4559927484081	25.8695249411723	25.504427928707	26.2116340556858	26.5502183579159	25.5447465771758	26.5581683210223	26.7022654943766	25.183969089184	26.4295161836796	25.6371594894058	25.1467423673069	26.3453487982901	25.0136324305965	26.2576384614693	25.7008113644647	25.8909446184021	25.3521857083029	25.5510989628635	26.3042421277929	25.0333446908536	24.7668358051575	25.6095559390476	26.5426524015379	26.0587891198122	26.1800654552836	26.8342451559753
sp|P14020|DPM1_YEAST	sp|P14020|DPM1_YEAST	sp|P14020|DPM1_YEAST Dolichol-phosphate mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DPM1 PE=1 SV=3	22.6878873696681	21.3937779788462	NA	21.4338991710402	NA	NA	22.2929158473449	22.0227606208403	22.7485368378721	21.488169650978	22.6844455848408	NA	21.5051369933634	NA	22.8548128485105	23.2999178754602	21.1847107218884	22.351053527305	22.4268288115102	21.7482501866659	22.5416543869139	22.779345047298	22.5929989535033	21.5185974523834	21.5500421724067	21.2205176739088	21.3020118741455
sp|P14065|GCY1_YEAST	sp|P14065|GCY1_YEAST	sp|P14065|GCY1_YEAST Glycerol 2-dehydrogenase (NADP(+)) OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCY1 PE=1 SV=1	NA	NA	NA	NA	22.1633695921013	NA	NA	NA	25.0894207384659	NA	22.8552882480736	NA	23.7508279994418	NA	21.8834547190238	23.3513770982634	NA	NA	21.7909020787204	23.4044462056835	23.5473379634783	23.1393365068963	23.5573066312328	NA	NA	NA	NA
sp|P14120|RL30_YEAST	sp|P14120|RL30_YEAST	sp|P14120|RL30_YEAST 60S ribosomal protein L30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL30 PE=1 SV=3	NA	NA	NA	25.4798818814819	NA	NA	NA	NA	25.4969524932425	NA	NA	NA	25.4303938470597	NA	25.3336085240731	25.8684891310991	NA	NA	NA	25.3526235162484	25.4256321038134	25.4017800267147	25.3795774689574	NA	23.089566212984	22.6268052141567	22.5648835223736
sp|P14126|RL3_YEAST	sp|P14126|RL3_YEAST	sp|P14126|RL3_YEAST 60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL3 PE=1 SV=4	26.9266007618017	25.969960851364	25.8605073301129	27.2538572928951	26.5245936026579	26.1143601678722	26.6025788106026	26.6920556711352	26.2634528935765	26.5873497075786	26.8227446940787	26.0279569394356	26.6161068179019	26.3192757495734	26.7347956057591	26.8935391027087	26.3270427251267	27.0494713584182	26.9035718731325	26.0529155862026	26.2667445137768	26.2398893949949	26.0386286795275	26.587492782408	27.3687796596107	27.1198112255886	27.1848960705103
sp|P14306|CPYI_YEAST	sp|P14306|CPYI_YEAST	sp|P14306|CPYI_YEAST Carboxypeptidase Y inhibitor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TFS1 PE=1 SV=2	22.1621712510156	NA	NA	24.2463375903972	NA	NA	NA	NA	22.5148469432325	22.1108248165147	22.2453078139104	NA	22.096419194607	NA	NA	22.6116228175692	NA	22.5105555726568	NA	24.2346186540058	22.4262401809717	24.3884404135544	24.3842298910428	22.3322431112882	NA	NA	22.8209447607273
sp|P14540|ALF_YEAST	sp|P14540|ALF_YEAST	sp|P14540|ALF_YEAST Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FBA1 PE=1 SV=3	30.218241834318	30.4355930119605	30.2020975117049	30.3653626280791	30.1237380712566	30.0713756960417	30.425924172857	29.9526873557374	30.2460385233206	30.2878004319796	29.9744590980922	29.9267704008214	30.0638112257088	30.4119548804283	30.1823407009241	30.6062022310914	30.3498428632047	30.2698592629724	30.1747425527971	29.2422722265493	29.6325803968062	30.0755894385911	30.2987648793501	30.209437115501	30.2468313685054	29.8019795283922	30.0679189107783
sp|P14742|GFA1_YEAST	sp|P14742|GFA1_YEAST	sp|P14742|GFA1_YEAST Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GFA1 PE=1 SV=4	24.0558967043264	NA	23.7142916410379	25.000368339813	24.6024089052057	NA	23.9908373103337	23.2205324343718	24.7143440521704	23.2839033746376	24.0680060723059	21.4251646703215	24.5508054876004	22.6898291003915	24.2210342002824	24.7947636817974	23.0841900857031	24.4007382285626	24.6326185293636	24.4828384772551	24.9373727425157	24.274976391622	24.5944576487304	24.4326892035996	23.1605257518965	23.7477586520514	24.2144531243852
sp|P14747|PP2B2_YEAST	sp|P14747|PP2B2_YEAST	sp|P14747|PP2B2_YEAST Serine/threonine-protein phosphatase 2B catalytic subunit A2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CMP2 PE=1 SV=2	21.0964835388766	20.9531193637054	21.1264120813237	NA	21.4038483697557	21.3730520489068	21.1209187395198	21.5739004681684	NA	21.4898851904953	21.2707059542438	21.2214620392272	21.2985481529752	21.0362407006067	21.314567755894	NA	21.8426465158454	20.7045521214623	21.1606642306796	NA	21.2597731417899	NA	NA	21.5844909618957	NA	21.3634589176104	20.9333708119582
sp|P14832|CYPH_YEAST	sp|P14832|CYPH_YEAST	sp|P14832|CYPH_YEAST Peptidyl-prolyl cis-trans isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CPR1 PE=1 SV=3	27.604983656548	27.2712404507145	27.1704509431648	27.5637640665071	26.676267883532	27.9262614239098	26.9226368446845	26.6246372937315	26.9043760830109	27.6973022029481	27.5210324622803	27.2928982996192	26.578307267632	27.4347582684952	27.3381562581143	27.5002087647434	27.6399627570808	26.2069854151625	27.8259619481487	25.5763477885871	27.1915001006703	26.7800663247093	27.3747607842565	27.2253620584456	27.8972951450304	27.9327515449614	27.9745958529187
sp|P14843|AROF_YEAST	sp|P14843|AROF_YEAST	sp|P14843|AROF_YEAST Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARO3 PE=1 SV=1	NA	NA	23.9799791514766	22.4338227820584	NA	NA	20.4381705115152	NA	23.472711660007	24.2781709446232	24.270064296979	23.8335456440668	21.1184494006714	24.2122280017794	22.7688659849872	24.4148039279325	24.1763795349304	22.1251510944058	24.181848035447	24.3396689893439	24.6493820590422	24.3625228407099	25.4879366704644	21.0068958200312	23.5120758883958	23.0344114344415	22.4797338925218
sp|P14904|AMPL_YEAST	sp|P14904|AMPL_YEAST	sp|P14904|AMPL_YEAST Vacuolar aminopeptidase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APE1 PE=1 SV=2	24.3400766454757	24.4735789248608	NA	23.6966789312038	22.9191986809937	NA	23.7927299350776	25.5016367696811	24.5685991172892	23.9352607467819	23.9888455343974	22.9808159613456	23.7028203212023	NA	24.3480705621916	25.5105374640065	24.194377536445	25.5879505265352	23.9067401602736	24.6219297886762	24.3299189396701	24.3794122136863	24.1413338352983	24.5201333067255	23.132245543692	22.9421694025507	24.9045368712051
sp|P14922|CYC8_YEAST	sp|P14922|CYC8_YEAST	sp|P14922|CYC8_YEAST General transcriptional corepressor CYC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC8 PE=1 SV=2	20.4871884259923	NA	NA	NA	21.010861336597	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.0163131901926	NA	NA	NA	NA	NA	NA	NA	21.18531585383	21.1247094884691	NA	NA	21.0064849713766
sp|P15019|TAL1_YEAST	sp|P15019|TAL1_YEAST	sp|P15019|TAL1_YEAST Transaldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TAL1 PE=1 SV=4	27.4552873315376	27.2764858120566	26.5718424314729	27.4059234870926	27.3656963535122	25.3497922562356	27.3346658308562	27.325602464692	27.3495054498743	27.5731868469552	27.2840975949605	24.864338437956	27.0085978831432	26.1039760751268	27.3016456437084	27.6489708200141	26.6967054588916	27.4564628347729	27.2461744705864	27.3340690593726	27.1961050003232	27.1648047545769	27.3053907565458	27.157402604862	27.1990107314986	27.1807294393372	27.3953381390451
sp|P15108|HSC82_YEAST	sp|P15108|HSC82_YEAST	sp|P15108|HSC82_YEAST ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSC82 PE=1 SV=4	30.1237380712566	29.5761639509056	29.0114799651275	30.6075256022659	30.2068783200141	28.7569726155549	30.2699706981126	29.9750060396364	30.3055212246944	29.9326952347785	30.4703395070488	28.8110599246065	30.5702759813001	29.4426095815563	30.780582643019	30.7787825513248	29.2408857518115	30.5354730420703	30.3815425551345	30.3300985128301	30.324422609197	30.5500458431576	30.7345695210393	30.4582634148661	29.7849717019118	30.0918181856243	30.6860385645998
sp|P15180|SYKC_YEAST	sp|P15180|SYKC_YEAST	sp|P15180|SYKC_YEAST Lysine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRS1 PE=1 SV=2	25.4978357604086	23.6764831147783	25.4213683722407	25.7622802419841	25.4245753602702	23.5959376279907	25.8734495572778	22.3801524097875	25.7060920989144	24.9542914635853	25.7360868392122	23.778162173429	25.5356102320171	25.3960081301279	25.1190196233515	26.1049358988851	25.4597335260413	25.3211353810869	24.808429266092	24.5998011803462	24.9219789137529	25.6493820590422	25.6562461232319	25.1529043449364	26.6131583865454	25.2622345221332	26.0176304677614
sp|P15274|AMPD_YEAST	sp|P15274|AMPD_YEAST	sp|P15274|AMPD_YEAST AMP deaminase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AMD1 PE=1 SV=2	20.2700215096792	20.9472088597011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.720421297192	15.247371268642	20.2883884844002	NA	NA	NA	NA	NA	NA	20.7244239216867	14.760875849889	NA
sp|P15303|SEC23_YEAST	sp|P15303|SEC23_YEAST	sp|P15303|SEC23_YEAST Protein transport protein SEC23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC23 PE=1 SV=1	23.0084012648816	22.7073566041806	NA	22.05095794955	21.1053995848919	23.29445921199	22.6855581151801	22.6723234706903	NA	22.5877674463121	NA	NA	22.2993030588753	22.3464888448687	22.6491956452079	NA	21.4224467156505	NA	NA	NA	NA	NA	NA	NA	22.3570815847442	22.3349999150923	22.6655519180016
sp|P15454|KGUA_YEAST	sp|P15454|KGUA_YEAST	sp|P15454|KGUA_YEAST Guanylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GUK1 PE=1 SV=2	25.6187972636081	25.670066213214	25.5862332366754	25.5935746305233	25.6573369873816	24.5846859261096	25.5111409632271	25.8751617602765	25.7334773559816	25.5275495482898	25.7159678536042	25.7048792404648	26.0496167631177	25.5208227094363	26.1969492027704	26.5412644421869	25.2436891446953	25.8005762709402	25.7298524271067	22.5034880325697	25.7734662315165	25.705248479248	25.6692282934672	25.6205042143856	25.7629391572917	NA	25.7982293201442
sp|P15496|IDI1_YEAST	sp|P15496|IDI1_YEAST	sp|P15496|IDI1_YEAST Isopentenyl-diphosphate Delta-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IDI1 PE=1 SV=2	24.7125085286879	23.9374176450209	24.0763491556645	24.7040349110704	24.4803750684078	24.3848885957574	23.9780596295182	24.2267773033647	NA	24.0158029532144	24.0061596331942	23.7893505583074	22.6935133312547	24.7275432635308	24.1963301692815	24.2105940612753	24.1853309788769	24.5563128583985	23.9601377215209	23.1275775137655	23.4784013083176	NA	21.5513102280933	24.0734100441578	24.4733311880969	24.5755978721172	24.5410871597355
sp|P15559ups|NQO1_HUMAN_UPS	sp|P15559ups|NQO1_HUMAN_UPS	sp|P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	24.5547916452207	21.657920261191	NA	NA	NA	NA	25.1769121052877	23.8794217127112	25.7867858992461	NA	NA	NA	NA	NA	NA	27.3009478046279	26.0833868056244	27.4983076298178	22.054539403278	21.7769181074743	22.0528824280408	NA	NA	NA	NA	NA	NA
sp|P15565|TRM1_YEAST	sp|P15565|TRM1_YEAST	sp|P15565|TRM1_YEAST tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRM1 PE=1 SV=1	NA	NA	NA	NA	NA	NA	NA	21.8017162517905	NA	NA	NA	21.2532080963456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|P15624|SYFB_YEAST	sp|P15624|SYFB_YEAST	sp|P15624|SYFB_YEAST Phenylalanine--tRNA ligase beta subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FRS1 PE=1 SV=3	25.0382518929039	23.0228283355169	24.0561448530024	24.5813564517538	24.483146107817	23.8428766596895	23.5611583333993	23.2816414319249	25.2962460484053	24.3214106783	23.8033136697245	22.8402085738221	25.3764012556821	24.580896610309	25.8311792633999	26.6559459909304	NA	23.4722158459147	23.0298702109913	25.5905797405223	25.2740166447224	24.9044909335496	24.9131016028672	24.6970502744533	24.619692965032	23.8573781470957	25.9812211167008
sp|P15625|SYFA_YEAST	sp|P15625|SYFA_YEAST	sp|P15625|SYFA_YEAST Phenylalanine--tRNA ligase alpha subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FRS2 PE=1 SV=3	25.1830604479694	24.1715775340592	22.5456894381134	25.2829142110466	23.5226495314287	22.6607515100098	24.524264790087	24.9138320582688	25.6508341654986	23.3109122766388	24.0621700191147	21.6909801018888	25.4004776614348	24.2185236237767	25.0367856754213	25.9251070776879	24.2191147408311	25.6028336311857	24.6012756909138	25.4314782205249	24.8640077558776	25.9085965716962	25.0558967043264	24.4264321521025	24.9393471318568	23.4333898347451	25.425728133037
sp|P15646|FBRL_YEAST	sp|P15646|FBRL_YEAST	sp|P15646|FBRL_YEAST rRNA 2-O-methyltransferase fibrillarin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP1 PE=1 SV=1	22.3701275762478	NA	NA	23.1593404453264	22.7770786924077	NA	NA	22.4867466569275	22.1756031517179	NA	22.1422067977043	NA	22.3874020826293	NA	22.8300671733259	22.5359008832899	23.4445539041379	23.5849725903347	22.2444079708933	22.3520240225481	22.3748834698782	22.1983551100191	NA	22.441821622179	23.9143340319078	21.702651253726	22.93809999109
sp|P15700|KCY_YEAST	sp|P15700|KCY_YEAST	sp|P15700|KCY_YEAST Uridylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA6 PE=1 SV=1	NA	NA	NA	22.6762894081016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4517644949949	22.416660446266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
